OBJECTID;MUNICIPIO;AREA;PERIMETRO;Shape_Length;Shape_Area;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
1;1;9426871.6;11935.5825;17023.9280590976;19179270.15694232;9.185628477550866;45.466625177546106;(45.466625177546106, 9.185628477550866)
2;8;23906482.2614;32807.3751;46822.06657767861;48694746.60491522;9.130015692328307;45.499318702020354;(45.499318702020354, 9.130015692328307)
3;9;21013486.5937;27157.1251;38770.63226127878;42821066.516777106;9.181573335541847;45.51197388874538;(45.51197388874538, 9.181573335541847)
4;2;12628554.9774;20971.2966;29934.120124095673;25726494.68041676;9.22459019886535;45.503416073618055;(45.503416073618055, 9.22459019886535)
5;3;14434240.0301;25665.7875;36616.59757270248;29385830.736064292;9.240033061771863;45.484979749327756;(45.484979749327756, 9.240033061771863)
6;4;20695477.5122;22716.0101;32395.731942603947;42079190.90182536;9.239429725465593;45.4489104972344;(45.4489104972344, 9.239429725465593)
7;7;31363417.1132;45390.123;64736.171816766815;63815476.8854114;9.096441122606016;45.46901489336859;(45.46901489336859, 9.096441122606016)
8;6;18336216.7552;22297.3464;31791.237541004804;37272643.06634263;9.14355164461774;45.44146618643598;(45.44146618643598, 9.14355164461774)
9;5;29958855.4632;29712.842;42348.67430473727;60852501.486624636;9.195580950559167;45.42013746228787;(45.42013746228787, 9.195580950559167)
